Kode KBLI 2025,Judul KBLI 2025,Uraian KBLI 2025,Padanan KBLI 2020,Jenis Perubahan,Skala Usaha → Tingkat Risiko,Perizinan Berusaha,Jangka Waktu Penerbitan
01111,Pertanian Jagung,"Kelompok ini mencakup kegiatan pertanian jagung, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman jagung untuk menghasilkan benih berupa biji. Kelompok ini tidak mencakup pertanian jagung manis, lihat kelompok 01133.",01111 - Pertanian Jagung,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","-
NIB
Sertifikat Standar","-
3 Hari"
01112,Pertanian Serealia Selain Padi dan Jagung,"Kelompok ini mencakup kegiatan pertanian serealia selain padi dan jagung, seperti gandum (wheat/oats), sorgum/cantel, barli (barley), gandum hitam (rye), dan jawawut. Pertanian serealia selain padi dan jagung yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman serealia selain padi dan jagung untuk menghasilkan benih berupa biji.",01112 - Pertanian Gandum,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01113,Pertanian Kedelai,"Kelompok ini mencakup kegiatan pertanian kedelai, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini tidak mencakup pertanian kedelai sayur/edamame, lihat kelompok 01116.",01113 - Pertanian Kedelai,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","-
NIB
Sertifikat Standar","-
3 Hari"
01114,Pertanian Kacang Tanah,"Kelompok ini mencakup kegiatan pertanian kacang tanah, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01114 - Pertanian Kacang Tanah,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01115,Pertanian Kacang Hijau,"Kelompok ini mencakup kegiatan pertanian kacang hijau, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01115 - Pertanian Kacang Hijau,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01116,"Pertanian Aneka Kacang Selain Kedelai, Kacang Tanah, dan Kacang Hijau","Kelompok ini mencakup kegiatan pertanian aneka kacang lainnya, seperti buncis, buncis besar, kacang panjang, kapri, kecipir, mijumiju, lupin, kacang polong, kacang merah, koro, gude, dan kacang tunggak. Pertanian aneka kacang yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01116 - Pertanian Aneka Kacang Hortikultura,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01117,Pertanian Biji-bijian Penghasil Minyak Makan,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak makan, seperti biji wijen, biji kanola, biji safflower, dan biji bunga matahari. Pertanian biji-bijian penghasil minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01117 - Pertanian Biji-bijian Penghasil Minyak Makan,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01118,Pertanian Biji-bijian Penghasil Minyak Selain Minyak Makan,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak selain minyak makan, seperti biji kapas, biji rami, biji moster, niger seed, dan biji jarak pohon. Pertanian biji-bijian penghasil minyak selain minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.","01118 - Pertanian Biji-bijian Penghasil Bukan Minyak Makan
01119 - Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya",-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01121,Pertanian Padi Hibrida,"Kelompok ini mencakup kegiatan pertanian padi hibrida, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi hibrida untuk menghasilkan benih berupa biji. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot, contohnya: Bernas Super, Bernas Prima, Sembada B3, Sembada 626, Sembada 989, SL 11 SHS, Bridantara 3, dan PP5. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida.",01121 - Pertanian Padi Hibrida,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01122,Pertanian Padi Inbrida,"Kelompok ini mencakup kegiatan pertanian padi inbrida (selain padi hibrida) termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu kesatuan kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi inbrida untuk menghasilkan benih berupa biji. Padi inbrida adalah varietas yang dikembangkan dari satu tanaman melalui penyerbukan sendiri sehingga memiliki tingkat kemurnian atau homozigositas yang tinggi, contohnya: Memberamo, Mekongga, Ciherang, IR-6, Inpari, Inpara, Inpago, Pak Tiwi, IPB 15S, serta padi varietas lokal yang telah ada dan dibudidayakan secara turun temurun oleh petani, seperti Rojo Lele, Pandan Wangi, dan Pusaka Bhagasasi.",01122 - Pertanian Padi Inbrida,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01131,Pertanian Sayuran Daun,"Kelompok ini mencakup kegiatan pertanian sayuran yang daun, bunga atau batangnya dimakan sebagai sayur, seperti articok, petsai/sawi, asparagus, kubis/kol, kembang kol, brokoli, selada, seledri, daun bawang, bayam, dan kangkung. Pertanian sayuran daun yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran daun untuk menghasilkan benih berupa biji.",01131 - Pertanian Hortikultura Sayuran Daun,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01132,Pertanian Buah Semusim,"Kelompok ini mencakup kegiatan pertanian buah semusim, seperti semangka, blewah, melon, dan timun suri. Pertanian buah semusim yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman buah semusim untuk menghasilkan benih berupa biji.",01132 - Pertanian Hortikultura Buah,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01133,Pertanian Sayuran Buah,"Kelompok ini mencakup kegiatan pertanian hortikultura sayuran buah, seperti mentimun, terong, tomat, belimbing sayur, labu sayur (siam), waluh/labu kuning, dan gambas/oyong. Pertanian sayuran buah yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu kesatuan kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran buah untuk menghasilkan benih berupa biji. Kelompok ini tidak mencakup pertanian cabai dan paprika, lihat kelompok 01138.",01133 - Pertanian Hortikultura Sayuran Buah,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01134,Pertanian Sayuran Umbi,"Kelompok ini mencakup kegiatan pertanian sayuran umbi, seperti kentang, wortel, lobak cina, rebung, bawang putih, bawang bombai, bawang merah, dan bawang perai. Pertanian sayuran umbi yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01134 - Pertanian Hortikultura Sayuran Umbi,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01135,Pertanian Ubi Kayu,"Kelompok ini mencakup kegiatan pertanian ubi kayu, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01135 - Pertanian Aneka Umbi Palawija,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01136,Pertanian Jamur,"Kelompok ini mencakup kegiatan pertanian jamur, seperti jamur merang, jamur tiram, jamur shittake, jamur kuping, dan truffle. Pertanian jamur yang dimaksud mencakup kegiatan pembuatan kubung, pengolahan media tanam, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini tidak mencakup kegiatan pertanian spawn jamur, lihat subgolongan 0130.",01136 - Pertanian Jamur,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01137,Pertanian Bit Gula dan Tanaman Pemanis Selain Tebu,"Kelompok ini mencakup kegiatan pertanian bit gula dan tanaman pemanis selain tebu, seperti stevia dan sorgum manis. Pertanian bit gula dan tanaman pemanis selain tebu yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01137 - Pertanian Bit Gula Dan Tanaman Pemanis Bukan Tebu,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01138,Pertanian Cabai,"Kelompok ini mencakup kegiatan pertanian cabai (Capsicum spp), seperti cabai besar, cabai rawit, cabai keriting, dan paprika. Pertanian cabai yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman cabai untuk menghasilkan benih berupa biji.",01283 - Pertanian Cabai,Recoding/Pindah Kode,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01139,Pertanian Umbi Lainnya,"Kelompok ini mencakup kegiatan pertanian umbi lainnya seperti ubi jalar, talas, ganyong, irut, gembili, iles-iles, dan porang. Pertanian umbi lainnya yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.","01139 - Pertanian Sayuran, Buah dan Aneka Umbi Lainnya",-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01140,Pertanian Tebu,"Kelompok ini mencakup kegiatan pertanian tebu, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini tidak mencakup pertanian bit gula, lihat kelompok 01137.",01140 - Perkebunan Tebu,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi
Usaha Besar → Tinggi","Izin
NIB
Sertifikat Standar","-
3 Hari
5 Hari"
01150,Pertanian Tembakau,"Kelompok ini mencakup kegiatan pertanian tanaman tembakau, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan pertaniannya. Kelompok ini juga mencakup kegiatan penanaman tanaman tembakau untuk menghasilkan benih berupa biji. Kelompok ini tidak mencakup kegiatan pembuatan produk tembakau, lihat subgolongan 1200.",01150 - Perkebunan Tembakau,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01160,Pertanian Tanaman Berserat,"Kelompok ini mencakup pertanian tanaman berserat, seperti kapas, yute, kenaf, batang lenan, rami, sisal, abaka, dan bahan baku tekstil lainnya dari genus Agave. Pertanian tanaman berserat yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman berserat untuk menghasilkan benih berupa biji.",01160 - Pertanian Tanaman Berserat,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01191,Pertanian Tanaman Pakan Ternak,"Kelompok ini mencakup kegiatan pertanian tanaman pakan ternak untuk memproduksi hijauan pakan ternak yang meliputi rumput pakan ternak dan tanaman legum/kacang-kacangan, seperti rumput gajah, rumput raja, rumput odot, rumput setaria, alfalfa, lamtoro, dan Indigoferea zollingeriana. Kegiatan pertanian tanaman pakan ternak yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01191 - Pertanian Tanaman Pakan Ternak,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01192,Pembenihan Tanaman Pakan Ternak dan Pembenihan Bit (Bukan Bit Gula),"(BUKAN BIT GULA) Kelompok ini mencakup kegiatan pembenihan tanaman pakan ternak dan pembenihan bit (bukan bit gula) untuk menghasilkan benih berupa biji, yang mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Tanaman pakan ternak meliputi rumput pakan ternak dan tanaman legum/kacang-kacangan pakan ternak, seperti rumput gajah, rumput raja, rumput odot, rumput setaria, alfalfa, kaliandra, gamal, lamtoro, dan Indigofera zollingeriana.",01192 - Perbenihan Tanaman Pakan Ternak dan Pembibitan Bit (Bukan Bit Gula),-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Rendah",Sertifikat Standar,-
01193,Pertanian Tanaman Bunga,"Kelompok ini mencakup kegiatan pertanian tanaman bunga yang memproduksi bunga potong dan kuncup bunga, misalnya anggrek, anyelir, gerbera/hebras, gladiol, krisan, mawar, melati, dan sedap malam. Kegiatan pertanian tanaman bunga yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini tidak mencakup kegiatan pertanian tanaman bunga yang memproduksi tanaman bunga hidup, lihat golongan 013.",01193 - Pertanian Tanaman Bunga,Tetap,"Usaha Mikro → Rendah
Usaha Kecil → Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01194,Pertanian Pembenihan Tanaman Bunga,"Kelompok ini mencakup kegiatan pertanian pembenihan tanaman bunga untuk menghasilkan benih berupa biji. Produksi semua jenis bahan tanam vegetatif termasuk batang stek, tunas, dan bibit untuk perbanyakan tanaman bunga masuk di subgolongan 0130.",01194 - Pertanian Pembibitan Tanaman Bunga,-,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,"-
7 Hari"
01199,Pertanian Tanaman Semusim Lainnya YTDL,Kelompok ini mencakup kegiatan pertanian tanaman semusim lainnya yang belum terklasifikasi di tempat lain dan kegiatan penanaman untuk menghasilkan benih berupa biji.,01199 - Pertanian tanaman semusim lainnya YTDL,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01210,Pertanian Buah Anggur,"Kelompok ini mencakup kegiatan pertanian buah anggur untuk konsumsi langsung atau untuk memproduksi wine, jus, cuka, dan buah yang dikeringkan, seperti kismis, zante currants, dan sultana. Pertanian buah anggur yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup penanaman tanaman anggur untuk menghasilkan benih berupa biji. Kelompok ini tidak mencakup - pembuatan wine, lihat kelompok 11020; - pengolahan dan pengawetan anggur, lihat subgolongan 1030.",01210 - Pertanian Buah Anggur,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01220,Pertanian Buah-buahan Tropis dan Subtropis,"Kelompok ini mencakup kegiatan pertanian buah-buahan tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, pepaya, nanas, rambutan, durian, duku, jambu biji, jambu air, lengkeng, nangka, mangga, manggis, sawo, belimbing, salak, sirsak, dan buah naga. Pertanian buah-buahan tropis dan subtropis yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman buah tropis dan subtropis untuk menghasilkan benih berupa biji.",01220 - Pertanian Buah-Buahan Tropis dan Subtropis,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01230,Pertanian Buah Jeruk,"Kelompok ini mencakup pertanian buah jeruk, seperti jeruk bali, jeruk lemon, jeruk nipis, limau, jeruk siam, jeruk keprok, jeruk mandarin, tangerine, dan clementine. Pertanian buah jeruk yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman jeruk untuk menghasilkan benih berupa biji.",01230 - Pertanian Buah Jeruk,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01240,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),"Kelompok ini mencakup kegiatan pertanian buah apel dan buah batu (pome and stone fruits), seperti aprikot, ceri, persik, nektarin, pir, quince, plum, sloe, markisa, kepel, terong belanda, dan buah delima. Pertanian buah apel dan buah batu yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman apel dan buah batu untuk menghasilkan benih berupa biji.",01240 - Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01251,Pertanian Buah Beri,"Kelompok ini mencakup kegiatan pertanian buah beri seperti bluberi, kismis (currants), gooseberry, kiwi, rasberi, dan stroberi. Pertanian buah beri yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman beri untuk menghasilkan benih berupa biji.",01251 - Pertanian Buah Beri,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01252,Pertanian Buah Biji Kacang-kacangan,"Kelompok ini mencakup kegiatan pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almon, kacang mete, chestnut, kenari (walnut), kacang hazel, dan kacang pistasio. Pertanian buah biji kacang-kacangan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01252 - Pertanian Buah Biji Kacang- Kacangan,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01253,Pertanian Sayuran Tahunan,"Kelompok ini mencakup kegiatan pertanian tanaman sayuran tahunan, seperti kluwih/timbul, sukun, nangka sayur, petai, jengkol, dan melinjo. Pertanian sayuran tahunan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran tahunan untuk menghasilkan benih berupa biji.",01253 - Pertanian Sayuran Tahunan,Tetap,"Usaha Mikro → Menengah Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi",Sertifikat Standar,7 Hari
01259,Pertanian Buah Semak Lainnya,"Kelompok ini mencakup kegiatan pertanian tanaman semak lainnya, seperti kacang lokus/locust beans, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01259 - Pertanian Buah Semak Lainnya,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
